label,weight,height
2234,168.5,66.0
2235,118.0,62.0
2236,175.0,66.0
2237,100.0,63.0
2238,134.0,67.0
2239,115.0,63.0
2240,126.0,64.0
2245,141.0,70.0
2246,193.0,69.0
2250,139.5,73.5
2251,144.0,64.0
2252,172.5,69.0
2253,186.0,72.0
2254,154.0,65.0
2255,134.0,62.0
2256,240.0,71.0
2257,257.0,66.0
2258,124.5,66.0
2262,125.0,61.5
2263,96.0,61.0
2266,178.5,70.0
2267,128.0,62.0
2268,157.0,65.0
2272,194.0,73.0
2273,162.0,70.0
2274,191.5,68.0
2275,143.0,65.0
2276,185.0,61.0
2277,143.0,64.5
2281,151.0,65.0
2283,125.0,67.0
2285,167.5,63.0
2286,113.0,62.0
2288,156.0,69.0
2290,149.0,62.0
2291,218.5,62.0
2293,109.01,61.5
2295,210.0,71.0
2296,171.0,67.0
2297,160.0,66.0
2299,166.5,63.0
2301,89.0,58.0
2302,137.0,63.0
2305,109.5,63.0
2306,127.0,69.0
2307,147.5,62.5
2309,107.0,59.0
2310,184.0,71.0
2312,192.0,72.0
2313,223.0,71.0
2314,170.5,69.75
2315,133.0,63.5
2316,144.0,62.0
2317,217.0,68.25
2319,238.0,71.0
2321,156.0,65.0
2322,119.0,66.0
2324,105.5,62.0
2325,142.0,69.0
2327,102.0,65.0
2328,110.0,65.0
2331,179.0,73.0
2334,166.0,71.0
2337,118.0,63.0
2340,196.0,75.0
2341,176.5,65.0
2342,140.0,72.0
2347,216.0,73.0
2348,172.0,65.0
2349,148.5,67.0
2350,164.0,64.0
2351,94.0,60.0
2352,167.0,64.0
2355,128.5,66.0
2356,183.0,64.5
2357,197.5,74.5
2358,231.0,73.0
2361,139.0,64.0
2362,185.0,68.0
2364,126.5,64.0
2365,117.0,64.0
2368,145.0,66.0
2369,174.0,70.0
2371,95.0,63.0
2373,141.0,69.0
2375,95.0,64.0
2376,135.0,64.0
2377,229.0,67.0
2378,217.5,62.0
2383,126.5,61.0
2385,318.0,65.0
2386,128.0,59.5
2387,177.0,75.0
2388,203.0,71.0
2391,280.0,72.0
2393,143.0,63.0
2394,109.0,66.0
2397,156.0,64.0
2398,142.0,63.0
2400,133.0,64.0
2401,123.5,67.0
2404,262.0,71.0
2405,173.5,68.0
2406,157.5,70.5
2407,261.0,70.0
2408,87.5,64.0
2409,152.0,69.25
2411,168.0,68.0
2412,168.0,64.0
2413,182.0,67.0
2414,216.0,69.0
2415,252.5,70.0
2416,176.0,66.0
2418,139.0,64.0
2419,136.0,66.0
2425,198.01,70.5
2426,142.5,65.0
2427,109.0,63.5
2428,179.5,67.0
2429,157.0,64.0
2430,161.5,68.5
2433,143.5,67.0
2435,171.0,71.0
2436,167.0,64.0
2437,164.0,68.0
2439,112.0,59.0
2440,157.0,71.0
2442,154.0,61.0
2443,170.0,67.0
2444,125.0,63.0
2445,138.0,65.0
2449,197.0,72.0
2450,128.0,66.0
2451,165.5,64.5
2452,187.0,75.0
2453,121.5,62.0
2454,155.0,67.0
2458,132.5,66.5
2460,106.0,60.5
2461,132.0,64.0
2462,151.5,71.5
2463,153.0,60.5
2465,166.0,61.0
2468,172.0,69.0
2473,158.0,65.0
2474,172.5,70.5
2475,86.0,49.0
2476,168.0,69.0
2477,163.5,65.5
